Polygon200ID,long,lat,OneMinusChi
9552,-79.907195,40.361969,0.4077727393258743
9739,-79.909591,40.363801,0.41112219820031176
9740,-79.907195,40.363801,0.40847211454855215
9741,-79.9048,40.363801,0.4047317867002004
9924,-79.919173,40.365634,0.4093070018805696
9925,-79.916777,40.365634,0.40759327304037285
9926,-79.914382,40.365634,0.4091569215995057
9927,-79.911986,40.365634,0.41200359997873764
9928,-79.909591,40.365634,0.41191871500226646
9929,-79.907195,40.365634,0.4075341092972791
9930,-79.9048,40.365634,0.4014477213531518
9931,-79.902404,40.365634,0.39661028240899515
10113,-79.921568,40.367466,0.4071348736768449
10114,-79.919173,40.367466,0.41093567180165025
10115,-79.916777,40.367466,0.4114760456146509
10116,-79.914382,40.367466,0.41316071051548003
10117,-79.911986,40.367466,0.41376242254424345
10118,-79.909591,40.367466,0.411119328320171
10119,-79.907195,40.367466,0.4054551973808933
10120,-79.9048,40.367466,0.3976519450397186
10121,-79.902404,40.367466,0.3929957114488242
10304,-79.921568,40.369298,0.4041590823861371
10305,-79.919173,40.369298,0.4080061117958869
10306,-79.916777,40.369298,0.4135705246059781
10307,-79.914382,40.369298,0.4154528604279666
10308,-79.911986,40.369298,0.41495086595859987
10309,-79.909591,40.369298,0.4128025944346404
10310,-79.907195,40.369298,0.40846977849798294
10311,-79.9048,40.369298,0.39917308307048
10312,-79.902404,40.369298,0.39245731289353314
10496,-79.921568,40.37113,0.39996261112564496
10497,-79.919173,40.37113,0.405736483055804
10498,-79.916777,40.37113,0.4131088067802349
10499,-79.914382,40.37113,0.41665410697773675
10500,-79.911986,40.37113,0.41890185385744044
10501,-79.909591,40.37113,0.41684703325276534
10503,-79.9048,40.37113,0.4046937717943405
10689,-79.923964,40.372962,0.390812648504776
10690,-79.921568,40.372962,0.3964017496956801
10691,-79.919173,40.372962,0.4020659115086232
10692,-79.916777,40.372962,0.40935123727269423
10693,-79.914382,40.372962,0.41691660009067977
10694,-79.911986,40.372962,0.42199694925821196
10850,-80.005411,40.374795,0.41993571355101794
10851,-80.003016,40.374795,0.4168111149901027
10877,-79.940732,40.374795,0.3740570845065867
10878,-79.938337,40.374795,0.3747175847506651
10879,-79.935941,40.374795,0.37477599149235297
10880,-79.933546,40.374795,0.37340837331242965
10881,-79.93115,40.374795,0.37530645610538155
10884,-79.923964,40.374795,0.38830427232026277
10885,-79.921568,40.374795,0.3921402868916203
10886,-79.919173,40.374795,0.3972055741213294
10887,-79.916777,40.374795,0.405996163253731
10888,-79.914382,40.374795,0.4144552894523289
10889,-79.911986,40.374795,0.4221233758571535
11046,-80.005411,40.376627,0.4187728460353401
11047,-80.003016,40.376627,0.4152988855059512
11048,-80.00062,40.376627,0.4146664054090852
11049,-79.998225,40.376627,0.4132451313237051
11050,-79.995829,40.376627,0.41399830291367673
11072,-79.943128,40.376627,0.375877797093844
11073,-79.940732,40.376627,0.37623251337378183
11074,-79.938337,40.376627,0.3738596193579258
11075,-79.935941,40.376627,0.373308766999472
11076,-79.933546,40.376627,0.37325238585268833
11077,-79.93115,40.376627,0.3731960746947256
11078,-79.928755,40.376627,0.37721680402613794
