ID,HOA,COA,chi,COA_full_pred,COA_source_pred,COA_solo_pred,HOA_full_pred,HOA_source_pred,chi_pred
1,2087.2,1046,0.513,892.4527911012615,512.7182917696184,722.7215210234208,1958.1785594997718,1630.8172154112299,0.5231477196097308
2,1111,351,0.5255,254.5543180108747,490.10874060737456,607.9065452229331,1139.8902846833419,1317.0817180867843,0.6015209188361039
7,1079,168,0.547,329.2413700761907,167.05563984660324,572.064691811575,1138.795493972256,1122.6251908170002,0.6390317075114558
8,1754.4,389,0.5305,374.1765653221874,225.92755290359884,628.4634111503201,1605.2280657004012,1275.7528686303895,0.57609114576696685
9,1064,667,0.505,361.19425202553975,431.28749877775806,623.4663934892227,1357.555430922543,1375.4669378725607,0.530341769519942
11,1562,411,0.541333333,318.3887444894566,461.6392188189692,657.9157734511668,2011.7984153245989,1868.896369619218,0.48617397114645045
12,200,549,0.704,117.10772281175929,163.6772019208928,572.064691811575,155.74261988556017,1105.0818903751233,0.7600967403388752
13,2241.6,231,0.665,589.8555959871276,739.5180958376635,574.2270767466403,1964.7686515884075,1713.1707779967555,0.6065402312154682
16,1168.2,700,0.527,413.91450183879704,209.92236475799825,582.2070694892979,1308.876791085512,1317.2315943474298,0.5733980621144505
22,1999,0,0.358,112.79336996796667,468.70734578390477,572.064691811575,1840.1393460581594,1653.968451680038,0.5603740071505003
12870,1377.2,564,0.61,677.4798006186974,972.0263055718617,1251.8201646823343,1552.0793048795622,1497.60601138894,0.5692907333832543
13086,2294,854,0.528,1374.9227180914309,1645.6921774853415,1970.4472966793164,1513.2272555031204,1564.193102590657,0.5687023674520297
14180,1804.8,715,0.673,630.50986860949115,581.9761342306986,572.064691811575,1821.4489439842503,1349.0645584019044,0.5960326126445161
14869,1798,1041,0.66,713.0006448571532,736.8635848828536,572.064691811575,2303.54589935392,2103.9396939625267,0.5656302696870428
17326,2021.42857,489.795918,0.484,1079.9668127153504,875.9188483061785,934.5552653262496,1868.756721907154,1967.6741273653245,0.5146022667644546
17328,1387.2449,1517.85714,0.5,2079.876844757639,1946.8014964647093,2023.8282087574048,1688.158460597061,1760.5012662197819,0.4702642576623669
17329,1860.45918,2545.91837,0.44,1857.3604601205052,1763.5453757051328,1783.9734861846446,1885.191906375373,1961.0974604683875,0.4681555433014791
17330,1720.40816,1838.77551,0.4455,1846.0222786113954,1769.8906452630295,1769.8596378096759,2010.0233612532911,1882.6275905706234,0.4761425576658538
17331,2129.84694,2653.57143,0.4,1787.593924951534,1724.2264219632998,1706.817788993017,1976.9346657388933,1897.7220217812396,0.4780648089859534
17332,1616.83673,929.591837,0.46,1659.6959551798343,1646.1274265830182,1569.7703086733827,1993.2944004138844,2065.252838229907,0.4693487415509684
17333,2075,2349.4898,0.44,1708.9879958253173,1713.8227475653357,1620.1352588215457,2134.1910587930765,2153.2785589806135,0.4553509826507528
17334,2381.42857,1769.31487,0.45,1807.5648882470516,1873.604799741492,1722.5782467707245,2049.282898999004,2032.4904535406242,0.4656830084463446
17579,1535.96939,3596.73469,0.381,2698.8730452190284,2572.539050002784,2688.077760736948,1674.6235742207555,1745.6032281008172,0.4740327085855224
17580,1894.38776,3461.22449,0.444,2312.08636844819,2233.1412743878773,2270.254229459143,1806.1396109974144,1932.4437678997128,0.4563102632769278
17581,1858.36735,1807.84048,0.415,1675.9806030580444,1625.0010521292288,1580.7341279517461,1749.8298997411625,1849.0864204723302,0.4518702785462344
17582,1718.36735,2076.53061,0.43,1479.1184431618856,1432.6191654780107,1360.0876682992098,1724.6545329670546,1890.920162095247,0.4451293451838767
17583,1838.16327,914.795918,0.453,1192.9946215610282,1171.2864322072983,1056.6988195381846,1983.1150092747387,2169.793769170402,0.43814093804761134
17584,2108.97959,1406.18492,0.49,1018.8786994253546,1008.2192367583722,860.7780366787963,1948.1332085033512,1943.8123526833272,0.44361442461298617
18109,916.5,1274,0.45,1396.004596122037,1415.9339617543935,1844.7218127865453,1557.3696622790867,1576.4578646416267,0.4476273228699974
18363,1440,901,0.44,776.1472784602802,831.8940642584739,1189.6919800669784,1541.8096021011165,1549.4946993972908,0.4762217325016781
18364,1840,965,0.45,665.6712891615089,719.3654249011747,1072.7448024048088,1518.1462032197444,1526.079174967531,0.4936765838627043
18586,2288,1382,0.4078,2175.2994861695006,2265.624165478163,2099.478377756321,2839.4049179584376,3110.529657139675,0.4128223988799131
18590,1973,626,0.443,744.5999480509693,883.8539191163284,732.5348241960626,1796.074660390226,1889.4326686226368,0.4347316243736232
18591,2044,438,0.45,656.469570269556,684.6129227979964,609.701609854792,1631.6945127014433,1829.597678604815,0.4347132799898785
