block_group,UFP_mean,asian_non_his,hispanic_any_race,black_non_hisp,two_or_more_race,white_non_his,american_indian,house_less20k,house_20_35k,house_35_50k,house_50_75k,house_more_75,education_less_highschool,education_highschool,education_some_college,education_college_degree,education_graduate,age_less_5_male,age_5_17_male,age_18_65_male,age_more_65_male,age_less_5_female,age_5_17_female,age_18_65_female,age_more_65_female,pm25,no2
420031005002,10400.270213267311,0,0,1047,18,340,0,100,117,98,98,142,77,300,283,172,129,140,107,412,49,21,90,495,91,9.84403435059761,10.1023747968127
420031011001,10876.32781808917,0,60,451,12,898,0,151,140,113,117,129,82,266,190,334,185,89,164,409,27,31,33,603,90,10.7070842419716,11.8634964152353
420031011002,17083.456418465987,0,20,26,6,514,0,64,45,39,87,45,29,114,77,144,56,0,21,232,9,0,45,258,23,11.0820332293292,12.3533190327613
420031005001,10308.772769822403,10,9,410,86,225,0,98,39,57,59,99,74,98,185,108,112,10,29,176,75,28,19,251,152,10.0078331432039,10.0800119053398
420031014001,11914.50586727189,0,58,77,0,991,0,112,106,103,114,99,86,228,201,211,77,74,29,314,93,54,82,379,110,10.3808535587189,10.214403905694
420031014004,10485.247972660174,9,0,27,19,603,0,36,37,47,80,89,18,92,100,197,106,33,32,201,28,10,51,242,70,10.6738056164384,10.1716268767123
420031106003,10392.756465504852,0,39,158,52,575,0,131,21,41,28,154,0,80,77,156,266,7,4,276,39,21,69,324,89,10.7706502080444,10.5112153398058
420031113001,11338.560954615014,20,67,202,20,447,0,71,37,33,38,120,40,66,136,151,168,24,43,303,0,30,57,289,10,10.8369331571995,10.6021918097754
420031113002,11481.543949807608,16,9,434,7,341,0,51,86,48,40,116,67,81,119,121,181,14,126,206,56,11,19,253,122,10.9953613782051,10.6843354166667
420031113003,11082.71077011239,0,45,326,11,71,0,77,96,53,13,34,48,100,113,84,20,18,45,145,48,18,17,199,8,10.9950956822107,10.8266462867012
420031113004,11102.051979682643,44,22,370,21,180,0,127,40,54,49,80,36,106,115,136,88,7,35,198,61,10,38,223,53,10.94318910162,10.9282867452135
420031114001,12345.101253698076,5,12,327,43,109,0,69,35,29,39,37,26,73,139,69,52,7,19,194,35,22,37,176,19,10.8510126956522,10.8979373913043
420031114002,11016.317509451153,10,39,577,110,115,0,201,29,49,102,29,82,156,239,74,32,7,70,258,15,0,139,297,101,10.2695653084833,10.6750575835476
