fips,pollutant,year,pred_wght,state_abbr,lat,lon
420810111006,no2,2015,7.4742528125,PA,41.25364725,-76.966410125
420010301011,no2,2015,4.10591912790698,PA,40.0157994186047,-77.0811855813953
420010301021,no2,2015,3.92937355633803,PA,39.9408220950704,-76.9958983274648
420010301022,no2,2015,3.89958766228431,PA,39.9805939194741,-77.0359368940017
420010301023,no2,2015,3.9235901040724,PA,39.9290933484163,-77.0572402262443
420010302001,no2,2015,4.284578766396,PA,40.0002504059963,-77.1375600874454
420010302002,no2,2015,3.97444506092254,PA,39.9590703220191,-77.1603674499565
420010303001,no2,2015,3.63065754775655,PA,39.9734148822745,-77.318323856064
420010303002,no2,2015,4.21726247769029,PA,39.9851106036745,-77.240077480315
420010304001,no2,2015,3.5546302835408,PA,39.915859197787,-77.4069459197787
420010304002,no2,2015,4.19713247191011,PA,39.9235120531154,-77.2985030643514
420010304003,no2,2015,4.03636462373933,PA,39.8785020170675,-77.3075531419705
420010304004,no2,2015,3.93046460365854,PA,39.8736977134146,-77.3604769054878
420010304005,no2,2015,3.52881622665006,PA,39.8803545454545,-77.4121831880448
420010305001,no2,2015,4.42374009637448,PA,39.9261438274438,-77.2272781092244
420010305002,no2,2015,4.32592394836272,PA,39.9212723551637,-77.2606437657431
420010306001,no2,2015,4.30388806185567,PA,39.8686130584192,-77.1731508591065
420010306002,no2,2015,4.01218970992366,PA,39.8945693129771,-77.1446221374046
420010306003,no2,2015,4.7233723901988,PA,39.8390346740638,-77.1970619047619
420010307001,no2,2015,4.1254160430839,PA,39.8404739229025,-77.1196006802721
420010307002,no2,2015,4.09212742061553,PA,39.8071255495848,-77.1065651196873
420010307003,no2,2015,4.25427873888889,PA,39.8087958888889,-77.1336848888889
420010308001,no2,2015,4.22823742274819,PA,39.9358664036818,-76.9788168310322
420010308002,no2,2015,4.01853972590224,PA,39.9006870717222,-77.0218756509822
420010308003,no2,2015,4.33318007107321,PA,39.8858315565032,-76.9914633972992
420010308004,no2,2015,3.89493554841474,PA,39.8618853898886,-76.9911116109683
420010309001,no2,2015,4.61416005136986,PA,39.8640510844749,-77.0619466324201
420010309002,no2,2015,4.75773319889503,PA,39.8688387292818,-77.0521944198895
420010309003,no2,2015,4.69380476863299,PA,39.8572140586365,-77.0386116919816
420010309004,no2,2015,4.17746256890849,PA,39.8426859977949,-77.0636681367144
420010310001,no2,2015,5.08030710836609,PA,39.8160804604155,-77.0272467153285
420010311011,no2,2015,5.4249284904271,PA,39.8022746686303,-77.0249393961708
420010311012,no2,2015,5.98915610119048,PA,39.8057495238095,-77.0158660119048
420010311013,no2,2015,6.05715495058824,PA,39.8028493647059,-77.0050568470588
420010311021,no2,2015,4.5041077036804,PA,39.7945099402328,-77.0336528153507
420010312011,no2,2015,4.00065247357294,PA,39.7520412790698,-77.1863465116279
420010312012,no2,2015,4.34270521372328,PA,39.799536951631,-77.1806430258718
420010312021,no2,2015,4.21348216666667,PA,39.7373884814815,-77.1034272222222
420010312031,no2,2015,4.16023712515883,PA,39.7501350381194,-77.0488891677255
420010313001,no2,2015,4.48388234531308,PA,39.7425055946647,-77.0923576509818
420010313002,no2,2015,5.09660510662824,PA,39.7465781556196,-77.0846429394813
420010314011,no2,2015,4.40829891996558,PA,39.8582049913941,-77.2436037435456
420010314012,no2,2015,4.47417725015142,PA,39.8354063597819,-77.2709709267111
420010314021,no2,2015,4.4218282788671,PA,39.8140142701525,-77.2546434640523
420010314022,no2,2015,4.3898899605989,PA,39.7658865248227,-77.247119070134
420010315011,no2,2015,5.64091964936886,PA,39.8356070593735,-77.2342566619916
420010315012,no2,2015,5.9359993537415,PA,39.8353394557823,-77.2291637755102
420010315021,no2,2015,5.88872103697749,PA,39.8311614951769,-77.2372686495177
420010315022,no2,2015,5.71584955811719,PA,39.8278255523535,-77.236123054755
420010315023,no2,2015,5.54783036569987,PA,39.8229015132409,-77.2352692307692
420010315024,no2,2015,5.86593434392828,PA,39.8303064384678,-77.2263990220049
420010316001,no2,2015,3.78735341463415,PA,39.8236527041357,-77.3252941675504
420010316002,no2,2015,4.10856697954272,PA,39.7540584837545,-77.2976401925391
420010316003,no2,2015,3.92681357668712,PA,39.7445944478528,-77.3885591411043
420010316004,no2,2015,4.10874935779816,PA,39.7612230437129,-77.3559437668645
420010317001,no2,2015,3.64887575142161,PA,39.8176301380991,-77.4057571080423
420010317002,no2,2015,4.18970111043689,PA,39.7710266990291,-77.3960444781553
420030103001,no2,2015,17.1497,PA,40.4346,-79.9933
420030103002,no2,2015,15.2192612410072,PA,40.4361118105516,-79.9908595323741
420030103003,no2,2015,14.6875130311615,PA,40.4370152974504,-79.9825532577904
420030103004,no2,2015,14.4392075709779,PA,40.437376340694,-79.9772242902208
420030201001,no2,2015,15.3190328222997,PA,40.4385273867596,-80.0015908013937
420030201002,no2,2015,14.2285760683761,PA,40.4428685897436,-80.0029233974359
420030201003,no2,2015,13.7841071428571,PA,40.4408428571429,-79.9994607142857
420030201004,no2,2015,14.2203533834586,PA,40.439827443609,-79.9892612781955
420030201005,no2,2015,15.3801,PA,40.439,-79.9974666666667
420030201006,no2,2015,15.3434907801418,PA,40.4442699763593,-79.9947106382979
420030203001,no2,2015,13.6734405844156,PA,40.4565543831169,-79.9788663961039
420030305001,no2,2015,12.8154920171062,PA,40.4443741981468,-79.985267997149
420030305002,no2,2015,12.5422995310668,PA,40.4406245017585,-79.9820227432591
420030402001,no2,2015,12.5475874100719,PA,40.4393142685851,-79.9691886091127
