block_group,UFP_mean,asian_non_his,hispanic_any_race,black_non_hisp,two_or_more_race,white_non_his,american_indian,house_less20k,house_20_35k,house_35_50k,house_50_75k,house_more_75,education_less_highschool,education_highschool,education_some_college,education_college_degree,education_graduate,age_less_5_male,age_5_17_male,age_18_65_male,age_more_65_male,age_less_5_female,age_5_17_female,age_18_65_female,age_more_65_female
420035628001,12508.536907283295,5,2,137,6,461,0,62,28,36,73,73,25,183,133,102,20,22,34,209,38,6,30,247,26
420035625004,10624.5490140056,30,0,982,122,353,0,121,93,74,75,146,69,245,298,124,114,112,221,419,32,23,123,493,69
420039804001,10022.594360505971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420031414005,15473.689926725672,124,120,29,16,741,0,167,66,95,151,124,0,48,85,276,297,13,25,405,0,115,39,420,13
420032614001,10270.929329044306,0,0,409,0,30,0,32,27,27,29,58,0,130,72,44,65,0,55,161,38,24,30,116,15
420035628002,11811.90184824118,26,20,35,28,927,0,211,60,56,94,112,115,248,277,124,61,36,41,322,79,42,29,356,128
420035632002,21039.905184651547,11,42,265,20,573,0,285,118,53,103,87,167,308,162,104,121,0,25,445,88,0,8,265,102
420035626002,11271.33116226203,0,33,103,138,787,0,165,74,52,89,51,43,338,226,9,44,20,150,329,41,0,140,305,82
420039807001,16632.37440148141,0,0,0,0,14,0,0,0,0,5,5,0,0,5,0,5,0,0,5,0,0,0,9,0
420035627001,14576.083074505845,0,14,7,10,296,3,21,32,28,23,65,16,32,62,109,88,0,10,187,27,0,0,82,27
420032615002,10477.324990976482,0,52,325,14,394,0,146,6,70,79,64,47,140,173,90,54,17,100,242,12,7,22,317,61
420030709003,12077.176629361145,416,6,44,4,423,0,252,11,16,49,93,0,11,38,61,141,0,0,567,35,19,0,277,28
420039806001,17061.85498920153,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4
420035616001,11690.335228728729,0,0,190,43,15,0,99,15,0,7,0,28,24,51,0,0,59,5,29,0,52,0,82,6
420031401003,10571.18153227646,116,4,44,3,127,0,0,0,0,0,0,0,0,0,10,0,0,0,179,0,0,4,151,0
420031517003,10267.280629950827,0,0,0,0,748,0,60,26,14,39,218,0,189,88,149,153,87,17,189,83,0,3,263,106
420031517004,10326.553814992347,0,56,12,22,723,0,14,51,16,85,155,0,124,125,199,185,18,12,323,63,17,30,262,65
420031609002,17265.196108024913,72,78,81,9,1810,0,301,137,116,185,420,58,264,215,410,414,5,21,745,59,31,100,794,235
420031702001,17694.24582657535,0,0,0,0,625,16,184,0,88,25,103,25,26,100,131,101,0,0,396,0,0,0,173,58
420031702003,13960.299721740977,29,0,20,32,1167,0,117,144,120,64,112,30,283,72,196,54,18,15,723,36,0,0,337,105
420031706001,12099.785503278059,12,21,8,0,309,0,34,29,38,24,87,20,26,91,102,88,0,4,219,13,0,5,77,32
420031706002,13972.399670436183,0,62,0,24,600,0,54,51,79,53,92,47,203,92,76,74,0,25,281,46,0,30,230,53
420031807003,13251.004523327385,0,5,297,41,422,0,126,59,52,96,11,68,172,172,82,47,10,42,256,71,4,61,220,109
420031903001,14238.015553131292,0,55,4,6,1017,0,104,45,22,100,303,49,135,202,298,168,12,52,421,73,11,3,406,104
420031916002,12096.625173716393,0,83,210,15,495,0,58,92,54,85,65,92,69,262,135,46,53,26,237,7,23,24,300,117
420031916005,12268.305877581999,0,78,168,0,968,0,51,39,51,107,245,229,163,301,147,83,36,55,467,92,5,87,343,114
420031917001,11416.652427401394,31,67,196,77,1921,0,145,176,163,169,352,109,550,500,296,248,49,159,806,174,42,177,682,211
420031917002,10823.655333936898,0,7,51,36,385,8,0,45,8,41,84,57,64,67,119,45,21,14,157,17,24,46,172,26
420031917003,13649.717956599361,48,10,36,30,816,5,75,72,49,45,104,79,210,173,165,52,0,110,367,16,0,75,324,53
420031918002,10004.830604326307,0,0,0,0,342,0,13,76,0,54,55,0,83,72,49,61,0,22,108,10,11,22,92,77
420031918004,11659.943246744246,0,0,23,0,751,0,20,88,40,109,84,120,136,202,90,58,0,89,311,48,0,14,297,34
420031918005,11191.980693501067,21,0,0,21,769,0,12,56,15,235,65,0,264,178,102,21,32,63,289,23,32,21,316,35
420031918006,10326.443826362314,0,122,26,0,1055,0,46,113,69,159,101,87,166,204,227,102,103,90,407,49,31,69,427,36
420031918007,9991.417420676391,0,54,47,0,509,0,71,50,14,65,76,16,217,205,73,0,0,55,90,53,20,24,289,79
420031919001,11392.43004527477,0,0,50,77,583,8,24,68,66,50,120,23,214,118,109,49,45,36,230,35,30,78,206,58
420031919002,11181.590248183633,26,0,62,28,655,0,93,67,17,71,126,42,175,148,129,91,19,72,316,24,17,9,259,50
420031919003,14195.859147601583,31,0,99,0,285,0,50,44,29,55,46,35,76,142,26,33,9,11,129,43,0,20,146,57
420032406001,13338.290327050277,81,41,77,54,989,0,145,100,83,107,275,56,337,155,264,278,38,17,596,56,17,24,403,91
420032406002,13478.476629108223,0,8,234,33,705,0,108,121,113,76,31,32,276,205,63,65,0,130,244,49,16,68,374,99
420032412001,10702.760074960774,0,0,39,6,252,0,38,46,20,18,17,84,119,27,16,0,7,10,115,31,5,18,81,30
420030103002,16269.599754241375,104,139,253,99,2924,0,0,0,0,0,0,3,0,26,24,42,0,0,1165,22,0,31,3442,0
420031918001,10740.188510864928,111,0,16,0,447,0,23,56,42,41,65,73,231,58,53,27,0,16,177,86,53,32,133,68
420030806002,14290.420976585401,8,0,10,10,667,0,76,100,35,92,124,16,71,52,245,170,21,33,296,0,0,17,293,35
420031403002,11297.211368070288,84,36,120,0,671,0,46,49,42,42,272,13,70,95,178,360,9,40,252,127,16,74,245,143
420031608002,14019.529483209291,0,0,139,21,662,0,29,64,34,33,154,43,82,111,169,67,36,19,385,56,32,27,241,26
420031608003,10052.109903621098,0,11,0,0,706,0,67,64,15,100,83,75,139,188,90,32,0,33,360,27,0,71,170,56
420031608004,11324.748744303288,0,26,143,83,684,0,66,74,53,100,77,18,257,160,121,63,0,22,523,16,14,68,265,28
